电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,宣传语,简介
焦土之城,2010,2010-09-17,"剧情,战争,悬疑",130,81,法语,丹尼斯·维伦纽瓦,瓦莱丽·博格朗-相宾,搜寻由母亲的意愿而展开,双胞胎姐弟珍妮（梅丽莎·德索蒙斯-波林 Mélissa Désormeaux-Poulin 饰）跟西蒙（马克西姆·高德特 Maxim Gaudette 饰）收到过世的母亲娜瓦尔（卢布娜·阿扎宝 Lubna Azabal 饰）的遗嘱，可当宣读完内容之后，两姐弟却一时难以接受这样的遗嘱：一份是写给他们从未蒙面的父亲；一份是写给她的第三个孩子——他们更是不知道这个哥哥的存在。影片巧妙的游走在两个不同的时空：母亲终其一生苦苦寻觅自己的长子；姐弟遵循母亲的遗嘱前往中东寻找他们的父亲与兄长。可越是穷其究竟，他们面对的越是理不清的头绪跟令人震惊的真相。本片改编自加拿大著名法语作家瓦基迪·穆阿瓦德的同名剧作。导演丹尼斯·维伦纽瓦荣获第83届奥斯卡金像奖最佳外语片提名。
姥姥的外孙,2024,2024-08-17,剧情,127,81,泰语,帕特·波尼蒂帕特,汤萨蓬·逖提拿坎,真金“唤”真情,出身泰国华人家庭的无业年轻人阿安（马群耀 饰）看到堂妹因照顾病重的爷爷而继承房产后，也对身患绝症的姥姥（乌萨·萨梅坎姆 饰）动了心思，计划复刻堂妹的“致富之路”获取百万遗产。但面对同样“努力”的舅舅们和挑剔毒舌的姥姥，阿安这条争当全职孝孙的“啃姥致富”之路似乎没有他预想的那么顺利……
燃烧女子的肖像,2019,2019-09-18,"剧情,爱情",120,81,法语,瑟琳·席安玛,,Don't regret. Remember.,在十八世纪奢华浪漫的背景下，画家与她的模特之间，激情悄然酝酿，直至两人共同营造一个能容其短暂盛放的天地。本片出自当代法国影坛最受瞩目的作者导演之一——瑟琳·席安玛之手。玛丽安受秘密委派，来到一座与世隔绝的海边庄园，她必须通过暗中观察，为抗拒包办婚姻的埃洛伊兹画成一幅婚礼肖像。在精妙的张力中展开的，是一场持久目光的交汇。两位女性逐渐以醉人的亲密，熟知了彼此的举止、表情与身体，最终缔结了一段颠覆性的创作同盟，以及一场炽热的爱恋。怀抱着一种几乎超越时空的渴望，本片深掘了在一个没有男性的世界里，当女性可以自由共同生活、彼此凝视时，所迸发的情感与艺术可能。
"“The Shorts” by Aldo, Giovanni and Giacomo",1996,1996-03-29,喜剧,130,81,意大利语,Arturo Brachetti,,简介,"I Corti (""Shorts"") by Aldo, Giovanni & Giacomo was the first stage show of the comedy trio, with the participation of Marina Massironi. It was recorded live at the Teatro Nuovo in Ferrara on 28 and 29 March 1996. Produced by Agidi, with the theatre direction of Arturo Brachetti."
潜行者,1979,1979-05-25,"科幻,剧情",163,81,俄语,安德烈·塔可夫斯基,阿尔卡季·斯特鲁加茨基,没必要说话。你必须......集中精神，回忆你所有的前世。当一个人想起过去时，他会变得更善良。,安德烈·塔可夫斯基在苏联时期的最后一部作品，是一次穿越神秘后末日景观的形而上学旅程，亦是一场独一无二的精妙观影体验。受雇的向导——“潜行者”——带领一位作家和一位教授深入“区”的核心地带，这个长期封闭的灾难禁区中，三人最终逼近了传说中的“房间”：一个据称能实现人内心深处最隐秘愿望的地方。改编自阿尔卡季与鲍里斯·斯特鲁加茨基兄弟的科幻小说，塔可夫斯基以丰富的物质细节和有机的氛围感，构建出一个沉浸式的世界。作为一则宗教寓言、对当时政治焦虑的反思，亦或是对电影本身的冥想——本片通过展开多重可能的意涵，将观众全然包围。[标准收藏]
囚徒,2013,2013-09-20,"剧情,惊悚,犯罪",153,81,英语,丹尼斯·维伦纽瓦,亚伦·格兹考斯基,每一刻都至关重要。,为了自己孩子的性命你会做到哪一步？凯勒.多佛 面对的是每个父母最恐惧的恶梦。他六岁的女儿安娜和小玩伴祖儿一起失踪了。唯一的线索是早前停在他家附近的一辆休闲车。在调查中，警探洛基 逮捕了这辆车的车主亚历克斯.琼斯，但因为缺乏证据而不得不放了他。 想到自己的孩子身处险境，急疯了的多佛决定靠自己。这位绝望的父亲决定不顾一切找到失踪的小女生们，但在找寻女儿的过程中，他渐渐迷失了自己，从而引出一个问题：寻求正义是不是可以超越法治？
狩猎,2012,2012-09-24,剧情,115,81,丹麦语,托马斯·温特伯格,托比亚斯·林德霍尔姆,The lie is spreading.,刚刚和妻子离婚的卢卡斯目前在一家托儿所工作，心地善良个性温和的他很快就受到了同事和孩子们的喜爱，其中，一个名叫卡拉的早熟女孩对卢卡斯尤为的亲近。面对女孩幼稚 而单纯的示好，卢卡斯只能婉转的拒绝，可令他没有想到的是，这一举动将他的生活推向了风口浪尖。
两杆大烟枪,1998,1998-08-28,"喜剧,犯罪",105,81,英语,盖·里奇,,到处都是罪犯的耻辱。,艾迪（尼克·莫伦）思维敏捷，是个玩牌高手。在三个好友的支持下，艾迪携巨资参加了黑社会的高额赌局，不想落入圈套，欠下50万的赌债。为了还清赌债，艾迪和朋友们绞尽脑汁，最终算计到一群毒贩身上，并为打劫购买了两杆老式烟枪。不想这群不安分的毒贩，正惦念着他们毒品供应商的钱，并在同一天实施了打劫。在毒贩们费劲周折，把毒品供应商熨的整整齐齐的钱款拿到手后，艾迪他们幸运的坐享其成。可是他们不知道，这看似简单的抢劫案背后，更有厉害的角色参与其中。他们手里的两杆破烟枪也隐藏着不少故事。在无知与莽撞中置身漩涡的他们能侥幸脱身么？笑料迭出的偶发事件里，穿插着小人物与大人物的辛酸幽默。
困在时间里的父亲,2020,2021-06-18,剧情,97,81,英语,弗洛里安·泽勒,克里斯托弗·汉普顿,简介,安东尼现年八十岁，性情淘气，倔强地独自生活，屡屡拒绝女儿安妮苦心为他安排的各种看护。然而安妮也逐渐力不从心——她无法再每日探望，而父亲对现实的感知正逐渐瓦解。随着记忆的潮汐涨落，安东尼还能抓住多少关于自我与过去的痕迹？当父亲依然在眼前呼吸存活，安妮又该如何面对这份正在逝去的亲情？
德州巴黎,1984,2024-07-28,剧情,147,81,英语,维姆·文德斯,基特·卡森,梦想启航之地。心碎疗愈之所。重拾碎片之处。,德国新电影先驱维姆·文德斯将他敏锐的风景观察力投向美国西南部，创作出这部由普利策奖获奖剧作家萨姆·谢泼德编剧、感人至深的角色研究。影片追踪沉默寡言的神秘流浪汉特拉维斯（演技精湛的哈利·迪恩·斯坦顿通 饰，他的面孔本身就是一片风景）试图与寄居洛杉矶弟弟家的幼子以及失踪的妻子重建联系。从这简单的设定出发，文德斯与谢泼德对男性气质的准则与美国家庭神话进行了有力的论述，同时也展开了一场对峡谷与霓虹构成的广阔而破碎世界的精致视觉探索。[标准收藏]
心灵奇旅,2020,2020-12-25,"动画,家庭,喜剧,奇幻,剧情,音乐",101,81,英语,皮特·多克特,肯普·鲍尔斯,如果有个地方能改变命运，你是否愿意一键重启人生？,乔·加德纳是一位中学乐队老师，他获得了毕生难逢的机会——在纽约最好的爵士俱乐部演奏。但一次小小的失误将他从纽约街头带到了一个奇幻之境“生之来处”。这是一个新生灵魂在前往地球之前获得个性、怪癖和兴趣的地方。决心重返自己生活的乔，与一个名叫22的早熟灵魂结成了伙伴。22始终无法理解人类生活的吸引力。当乔拼命试图向22展示生命的精彩之处时，他或许也将发现一些关于生命最重要问题的答案。
辉夜姬物语,2013,2014-06-02,"动画,剧情,奇幻",137,81,日语,高畑勋,坂口理子,公主的罪与罚,一位老竹匠与妻子在发光的竹茎中发现微小女婴，她迅速长成秀丽的少女。这位神秘的年轻公主令所有遇见她的人着迷——但最终必须直面其命运，承担罪责的惩罚。[Gkids]
猫猫的奇幻漂流,2024,2025-02-28,"动画,冒险,奇幻,家庭",85,81,拉脱维亚语,金兹·兹巴洛迪斯,马蒂斯·卡扎,只要有猫在，就没什么好怕的！,这是一段关于友谊与生存的动人篇章，将独立动画的创作雄心与想象力推至令人惊叹的高度。这部荣获奥斯卡奖、风靡全球的作品，讲述了一只勇敢的猫在家园被大洪水摧毁后的故事。它与一只水豚、一只狐猴、一只小鸟和一只小狗结伴，共同驾驶小船寻找陆地。在这颗已然化为水世界的星球上，它们必须凭借信任、勇气与智慧渡过重重险境。凭借开源软件与小团队协作，富有远见的独立动画师金茨·齐尔巴洛迪斯营造了一场绝妙的感官之旅，深刻沉思了环境的脆弱与社群精神的真谛。
请以你的名字呼唤我,2017,2017-11-24,"爱情,剧情",132,81,英语,卢卡·瓜达尼诺,André Aciman,请以你的名字呼唤我 我亦将如此,在八十年代的意大利里维埃拉，每年夏天，十七岁的少年埃利奥都会跟家人在这里。今年，和他们共享假日时光的，还有来自美国的奥利弗，高大英俊热情开朗的奥利弗很快就获得了埃利奥一家人的喜爱。随着时间的推移，埃利奥和奥利弗之间渐渐产生了致命的吸引力，但性别和年龄的桎梏让他们迟迟无法跨出那关键的一步，与此同时，单纯善良的少女马奇娅也向埃利奥奉献着自己的感情和身体。最终，汹涌的激情冲破了埃利奥和奥利弗之间的防线，两人开始了一段注定不会有结果的恋情。
双重赔偿,1944,1944-07-06,"犯罪,惊悚",107,81,英语,比利·怀尔德,James M. Cain,It's love and murder at first sight!,可曾有过如此犀利的台词对白？可曾有过芭芭拉·斯坦威克这般摄人心魄的蛇蝎美人？可曾见过1940年代洛杉矶如此魅惑而腐朽的容颜？导演比利·怀尔德与编剧雷蒙德·钱德勒携手，将詹姆斯·M·凯恩的通俗小说化作黑色电影宿命论的终极典范，凭此跻身好莱坞顶级导演之列。当油滑的保险销售员沃尔特·内夫踏进家庭主妇菲利斯·迪特里希森奢华的宅邸，本意推销保险的他，却卷入了远比保单危险的致命阴谋。爱德华·G·罗宾逊抢尽风头的配角演出，加上摄影师约翰·F·塞茨精心雕琢的光影构图，共同造就这部影史最令人酣畅淋漓的黑色经典，树立了后世所有黑色电影难以逾越的标尺。[标准收藏]
扎克·施奈德版正义联盟,2021,2021-05-03,"动作,冒险,奇幻",242,81,英语,扎克·施奈德,克里斯·特里奥,正义再次集结,为了确保超人没有白白牺牲，蝙蝠侠和神奇女侠计划招募一支超人类团队来保护世界。这项任务比布鲁斯的设想要困难得多，因为每个新人都必须面对并跨越自己过去的心魔，团结起来，最终形成前所未有的联盟，否则就无法阻止从荒原狼、狄萨德和达克赛德毁灭地球。
大都会,1927,2011-06-18,"剧情,科幻",153,81,德语,弗里茨·朗,特娅·冯·哈堡,只有通过心灵的桥梁，双手与头脑之间才能达成真正的理解。,这部1927年的鸿篇巨制或许堪称默片时代的巅峰成就，弗里茨·朗将二十年代通俗小说狂热的叙事节奏，与自身对人性幽暗面的深刻洞察熔铸一体。
黑色五叶草：魔法帝之剑,2023,2023-06-16,"动画,奇幻,动作,冒险",113,81,日语,种村绫隆,Johnny Onda,When the legend revives... The kingdom will fall.,这部电影将由原著漫画作者田畠裕基担任监制，讲述原作中并未透露的魔法帝的故事。在一个魔法主宰万物的世界里，生来就没有魔法的男孩亚斯塔立志成为“魔法帝”，以克服逆境，证明自己的力量，并遵守与朋友们的约定。
花样年华,2000,2025-02-14,"剧情,爱情",99,81,汉语,王家卫,刘以鬯,感受这份炽热，让激情持续燃烧，任感官尽情迸发。,一九六二年的香港：周慕云与苏丽珍在同一天搬进相邻的公寓。他们的相遇起初保持着得体与疏离——直到发现各自配偶的秘密，一种亲密的情愫悄然滋生。王家卫的本片既含蓄典雅又视觉绚烂，精湛地勾勒出浪漫渴望与易逝的瞬间。在悸动的配乐、以及杜可风与李屏宾极致抽象的摄影美学中，这部电影成为过去二十年影坛的重要风格标杆，亦是王家卫璀璨生涯的一座里程碑。[标准收藏]
暖暖内含光,2004,2024-04-18,"科幻,剧情,爱情",108,81,英语,米歇尔·贡德里,查尔斯·考夫曼,我已经忘了过去对你的感觉,乔尔震惊地发现女友克莱门汀竟将他们激烈感情的记忆全部删除。绝望之下，他联系了该技术的发明者霍华德博士，要求将克莱门汀从自己记忆中抹去。然而随着记忆逐渐消失，乔尔开始重新发现对克莱门汀的爱。[Focus Features]
